"","pert_iname","mean","n","median","sd","sRGES"
"9261","BRD-K90256762",0.425872229662764,2,0.425872229662764,0.567926765462202,0.425872229662764
"9262","ellipticine",0.425925162269793,24,0.501229354774621,0.417761508241897,0.425925162269793
"9263","BRD-K34160774",0.4260616156979,8,0.514655760054533,0.365259667405256,0.4260616156979
"9264","SA-424233",0.426152581311525,5,0.39367184637704,0.235734726186128,0.426152581311525
"9265","BRD-K76390333",0.426222100307741,3,0.493524199045671,0.429061312362388,0.426222100307741
"9266","BRD-K92707657",0.426468685013821,2,0.426468685013821,0.449955133086327,0.426468685013821
"9267","BRD-K54018158",0.426777149333757,5,0.525939647889822,0.289212631867756,0.426777149333757
"9268","BRD-K19436903",0.426785171526626,7,0.441465276697529,0.428711044977264,0.426785171526626
"9269","BRD-K20827972",0.426828199358721,5,0.577286680923841,0.423277133082308,0.426828199358721
"9270","BRD-K18722736",0.427130984652208,3,0.449216087252897,0.5048602193145,0.427130984652208
"9271","SIB-1508Y",0.427143132676377,3,0.444103612815269,0.0598567286630519,0.427143132676377
"9272","BRD-K56024573",0.427492895755025,5,0.45453542157762,0.182188682198263,0.427492895755025
"9273","BRD-K71701252",0.427562884698467,11,0.423060368722069,0.346267964216526,0.427562884698467
"9274","cucurbitacin-i",0.427582047615076,98,0.48146112028246,0.452382914039213,0.427582047615076
"9275","BI-2536",0.427600059713563,102,0.540510200037061,0.457754202549227,0.427600059713563
"9276","BRD-K67763841",0.427832011530521,1,0.427832011530521,NA,0.427832011530521
"9277","RO-28-1675",0.427890671641657,61,0.535653349321315,0.381509335272039,0.427890671641657
"9278","BRD-K34051200",0.427925425109146,1,0.427925425109146,NA,0.427925425109146
"9279","BRD-K39241486",0.428172843159697,2,0.428172843159697,0.555033032403756,0.428172843159697
"9280","desmethylclomipramine",0.428178845169456,4,0.52617704957545,0.260013334881769,0.428178845169456
"9281","BRD-K31427141",0.428193613527432,2,0.428193613527432,0.688652178770689,0.428193613527432
"9282","BIBU-1361",0.428224473862138,14,0.51827093623338,0.415746837766413,0.428224473862138
"9283","BRD-K39211770",0.428323895354322,3,0.568847989093388,0.314998711675566,0.428323895354322
"9284","BRD-K55522699",0.428343258974284,1,0.428343258974284,NA,0.428343258974284
"9285","SA-1472655",0.42836661236894,4,0.5146588690629,0.512605470042489,0.42836661236894
"9286","BRD-K08725721",0.428400975955818,4,0.484936422445252,0.28108780697965,0.428400975955818
"9287","BRD-A13367427",0.428461801945719,3,0.585073935551717,0.296703329899548,0.428461801945719
"9288","BRD-K45853100",0.428513674788872,4,0.323111493466445,0.330413105052223,0.428513674788872
"9289","BRD-K82882781",0.428607088367496,1,0.428607088367496,NA,0.428607088367496
"9290","BRD-K63376220",0.428645589485478,2,0.428645589485478,0.479785224455958,0.428645589485478
"9291","cardamonin",0.428652578959328,3,0.4546693933197,0.342425776562289,0.428652578959328
"9292","BRD-K26924060",0.428854506418047,1,0.428854506418047,NA,0.428854506418047
"9293","BRD-K18724229",0.429288449379374,11,0.528325469294048,0.350579022717541,0.429288449379374
"9294","GR-159897",0.429352892086485,5,0.44465130433154,0.289722040874139,0.429352892086485
